gold_label,sequence,attention_mask,token_type
entailment,"[CLS] the obe ##roi family is part of a hotel company that has a head office in delhi . [SEP] [ par ] [ t ##le ] the obe ##roi group [SEP] the obe ##roi group is a hotel company with its head office in delhi . founded in 1934 , the company owns and / or operates 30 + luxury hotels and two river cruise ships in six countries , primarily under its obe ##roi hotels & resorts and trident hotels brands . [ par ] [ t ##le ] obe ##roi family [SEP] the obe ##roi family is an indian family that is famous for its involvement in hotels , namely through the obe ##roi group . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] musician and sat ##iri ##st allie go ##ert ##z wrote a song about the "" the simpsons "" character mil ##house , who matt gr ##oe ##ning named after president richard nixon ' s middle name . [SEP] [ par ] [ t ##le ] mil ##house van ho ##ute ##n [SEP] mil ##house mussolini van ho ##ute ##n is a fictional character featured in the animated television series "" the simpsons "" , voiced by pamela hayden , and created by matt gr ##oe ##ning who named the character after president richard nixon ' s middle name . later in the series , it is revealed that mil ##house ' s middle name is "" mussolini . "" [ par ] [ t ##le ] allie go ##ert ##z [SEP] allison beth "" allie "" go ##ert ##z ( born march 2 , 1991 ) is an american musician . go ##ert ##z is known for her satirical songs based on various pop culture topics . her videos are posted on youtube under the name of co ##ss ##by ##sw ##ea ##ter . subjects of her songs have included the film "" the room "" , the character mil ##house from the television show "" the simpsons "" , and the game dungeons & dragons . her style has been compared to that of [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] james henry miller ' s wife was english . [SEP] [ par ] [ t ##le ] peggy see ##ger [SEP] margaret "" peggy "" see ##ger ( born june 17 , 1935 ) is an american folks ##inger . she is also well known in britain , where she has lived for more than 30 years , and was married to the singer and songwriter e ##wan mac ##coll until his death in 1989 . [ par ] [ t ##le ] e ##wan mac ##coll [SEP] james henry miller ( 25 january 1915 – 22 october 1989 ) , better known by his stage name e ##wan mac ##coll , was an english folk singer , songwriter , communist , labour activist , actor , poet , playwright and record producer . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] cad ##mium chloride is slightly soluble in alcohol , it is also called alcohol . [SEP] [ par ] [ t ##le ] ethanol [SEP] ethanol , also called alcohol , et ##hyl alcohol , and drinking alcohol , is a compound and simple alcohol with the chemical formula c2 ##h ##5 ##oh . its formula can be written also as ch ##3 − ##ch ##2 − ##oh or c2 ##h ##5 − ##oh ( an et ##hyl group linked to a hydro ##xy ##l group ) , and is often abbreviated as et ##oh . ethanol is a volatile , fl ##am ##mable , color ##less liquid with a slight characteristic odor . it is used as a drug and is the principal type of alcohol found in alcoholic drinks . [ par ] [ t ##le ] cad ##mium chloride [SEP] cad ##mium chloride is a white crystalline compound of cad ##mium and ch ##lor ##ine , with the formula cdc ##l . it is a h ##y ##gr ##os ##copic solid that is highly soluble in water and slightly soluble in alcohol . although it is considered to be ionic , it has considerable co ##valent [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] indo ##gram ##mo ##des contains only one species in the world ' s seventh - largest country . [SEP] [ par ] [ t ##le ] india [SEP] india , officially the republic of india ( "" b ##harat gan ##ara ##j ##ya "" ) , is a country in south asia . it is the seventh - largest country by area , the second - most populous country ( with over 1 . 2 billion people ) , and the most populous democracy in the world . it is bounded by the indian ocean on the south , the arabian sea on the southwest , and the bay of bengal on the southeast . it shares land borders with pakistan to the west ; china , nepal , and bhutan to the northeast ; and myanmar ( burma ) and bangladesh to the east . in the indian ocean , india is in the vicinity of sri lanka and the maldives . india ' s and ##aman and nico ##bar islands share a maritime border with thailand and indonesia . [ par ] [ t ##le ] indo ##gram ##mo ##des [SEP] indo ##gram ##mo ##des is a genus of moths [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] bad ##r hari was once considered the best kick boxer in the world , however he has been involved in a number of controversies relating to his "" un ##sport ##sman ##like conducts "" in the sport and crimes of violence outside of the ring . [SEP] [ par ] [ t ##le ] global fighting championship [SEP] global fighting championship ( also known as g ##fc ) was a uae - based kick ##box ##ing and mixed martial arts ( mma ) event . fighters from around world on the roster include bad ##r hari , peter ae ##rts , peter graham , dewey cooper , za ##bit same ##do ##v . it was considered as one of the biggest kick ##box ##ing and mma promotion in middle east . < ref name = "" emirates 24 / 7 "" > < / ref > [ par ] [ t ##le ] bad ##r hari [SEP] bad ##r hari ( arabic : ب ##د ##ر ه ##ا ##ر ##ي ; born 8 december 1984 ) is a moroccan - dutch super heavyweight kick ##box ##er from amsterdam , fighting out of mike ' s gym in o ##ost ##za ##an . he is a former k - 1 heavyweight champion ( 2007 — 2008 ) , it ' s showtime heavyweight world champion ( 2009 - 2010 ) and "" k - 1 world grand prix 2009 "" finalist . hari has been a prominent figure in the world of kick ##box ##ing and was once considered the [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] the dutch - belgian television series that "" house of an ##ub ##is "" was based on first aired in 2006 . [SEP] [ par ] [ t ##le ] het hui ##s an ##ub ##is [SEP] het hui ##s an ##ub ##is ( "" the house of an ##ub ##is "" ) is a belgian - dutch children ' s television drama created by studio 100 and nickelodeon , airing in the netherlands and flanders . it first aired in september 2006 and the last episode was broadcast on december 4 , 2009 . the show was a huge success in the ben ##el ##ux , despite the show ' s low budget for the first two seasons . [ par ] [ t ##le ] house of an ##ub ##is [SEP] house of an ##ub ##is is a mystery television series developed for nickelodeon based on the dutch - belgian television series "" het hui ##s an ##ub ##is "" . the series was created by hans bo ##ur ##lon and ge ##rt ve ##rh ##uls ##t and premiered on nickelodeon on 1 january 2011 in the united states and on 25 february 2011 in the united kingdom . the series is the first [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] the length of the track where the 2013 li ##qui mo ##ly bathurst 12 hour was staged is 6 . 213 km . [SEP] [ par ] [ t ##le ] mount panorama circuit [SEP] mount panorama circuit is a motor racing track located in bathurst , new south wales , australia . it is situated on a hill with the dual official names of mount panorama and wah ##lu ##u and is best known as the home of the bathurst 1000 motor race held each october , and the bathurst 12 hour event held each february . the 6 . 213 km long track is technically a street circuit , and is a public road , with normal speed restrictions , when no racing events are being run , and there are many residences which can only be accessed from the circuit . [ par ] [ t ##le ] 2013 li ##qui mo ##ly bathurst 12 hour [SEP] the 2013 li ##qui mo ##ly bathurst 12 hour was an endurance race for a variety of gt and touring [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] fast cars , danger , fire and knives includes guest appearances from el - p . [SEP] [ par ] [ t ##le ] fast cars , danger , fire and knives [SEP] fast cars , danger , fire and knives is an ep by american hip hop artist ae ##sop rock . released via the definitive ju ##x label on february 22 , 2005 , the record is produced by block ##head and ae ##sop rock himself , with the former producing three tracks and the latter producing four , with one track produced by rob sonic . vocals are handled by ae ##sop rock , with guest appearances from cam ##u tao and metro of s . a . smash and definitive ju ##x label head el - p . all scratches are performed by dj big wi ##z . [ par ] [ t ##le ] el - p [SEP] jaime mel ##ine ( born march 2 , 1975 ) , better known by his stage name el - p ( shortened from el product ##o ) , is an american hip hop recording artist , record producer , and record executive . originally [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] gunmen from la ##redo starred walter co ##y in "" frontier "" . [SEP] [ par ] [ t ##le ] walter co ##y [SEP] walter darwin co ##y ( january 31 , 1909 – december 11 , 1974 ) was an american stage , radio , film , and , principally , television actor , originally from great falls , montana . he was best known for na ##rra ##ting the nbc western anthology series , "" frontier "" , which aired early sunday evenings in the 1955 – 1956 season . [ par ] [ t ##le ] gunmen from la ##redo [SEP] gunmen from la ##redo is a 1959 american western film produced and directed by wallace macdonald , which stars robert kn ##app , maureen hi ##nger ##t , and walter co ##y . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
